Department,Course Number,Course Name,Request Type,Grade,StudentNumber
,ZATHKBFC,Central Freshman Boys Basketba,E,9,2260800
,ZATHGBC,Cent. Boys Golf Varsity,E,9,2260850
,ZATHVBFC,Central Freshman Boys Volleyba,E,9,2260850
,ZATHWRJC,Central JV Wrestling,E,9,2260850
,ZATHKBVC,Central Varsity Boys Basketbl,E,12,2231026
,ZATHBDVC,Central Varsity Badminton,E,12,2230020
,ZATHBDJC,Central JV Badminton,E,10,2250010
,ZATHPMJC,Central JV Dance,E,10,2250010
,ZATHCBJC,Central JV Boys X Country,E,10,2250012
,ZATHWRJC,Central JV Wrestling,E,10,2250012
,ZATHCGVC,Cent. Girls X Country Varsity,E,9,2260008
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260009
,ZATHVBJC,Central JV Boys Volleyball,E,12,2230022
,ZATHWRJC,Central JV Wrestling,E,12,2230022
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260011
,ZATHWRJC,Central JV Wrestling,E,9,2260011
,ZATHFBFC ,Central Freshman Football,E,9,2260012
,ZATHVBFC,Central Freshman Boys Volleyba,E,9,2260015
,ZATHWRJC,Central JV Wrestling,E,9,2260015
,ZATHFBFC ,Central Freshman Football,E,9,2260016
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260018
,ZATHFBSC,Central Sophomore Football,E,10,2250015
,ZATHWRVC,Central Varsity Wrestling,E,10,2250087
,ZATHWRJC,Central JV Wrestling,E,9,2260022
,ZATHWRJC,Central JV Wrestling,E,9,2260023
,ZATHWRJC,Central JV Wrestling,E,11,2240033
,ZATHSBSC,Central JV Boys Soccer,E,10,2250025
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260028
,ZATHCHJC,Central JV Cheerleading,E,9,2260031
,ZATHFBSC,Central Sophomore Football,E,10,2250037
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260037
,ZATHCHJC,Central JV Cheerleading,E,10,2250044
,ZATHCWRG,Central Girls Wrestling,E,9,2260046
,ZATHSGFC,Central Freshman Girls Soccer,E,9,2260046
,ZATHCBVC,Central Boys X Country Varsity,E,12,2230043
,ZATHCGVC,Cent. Girls X Country Varsity,E,11,2241029
,ZATHKGSC,Central Sophomore Girls Basket,E,11,2241029
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2241029
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240050
,ZATHFBVC,Central Football Varsity,E,12,2231021
,ZATHTBVC,Central Varsity Boys TrkFld,E,12,2231021
,ZATHSBSC,Central JV Boys Soccer,E,10,2250052
,ZATHPMVC,Central Dance,E,12,2230048
,ZATHFBFC ,Central Freshman Football,E,9,2260057
,ZACTSCHO,Scholastic Bowl,E,11,2240056
,ZATHVBJC,Central JV Boys Volleyball,E,11,2240056
,ZATHCWRG,Central Girls Wrestling,E,9,2260061
,ZATHTBVC,Central Varsity Boys TrkFld,E,11,2241112
,ZATHSBSC,Central JV Boys Soccer,E,11,2240061
,ZATHSBVC,Central Boys Soccer Varsity,E,10,2250060
,ZATHVGJC,Central JV Girls Volleyball ,E,11,2240065
,ZATHTNV,Central Boys Tennis,E,12,4230066
,ZATHCHVC,Central Cheerleading Varsity,E,12,2230055
,ZATHCBJC,Central JV Boys X Country,E,9,2260065
,ZATHCGVC,Cent. Girls X Country Varsity,E,9,2260070
,ZACTSPEE,Speech Team,E,12,2230058
,ZACTSPEE,Speech Team,E,10,2250068
,ZATHBDVC,Central Varsity Badminton,E,11,2240071
,ZATHTSVC,Cent. Girls Tennis Varsity,E,11,2240071
,ZATHVGVC,Central Girls Volleybl Varsity,E,11,2240939
,ZATHBGVC,Central Varsity Girls Bowling,E,12,2230891
,ZATHGGC,Cent. Girls Golf Varsity,E,12,2230891
,ZATHTGVC,Central Varsity Girls TrkFld,E,12,2230062
,ZATHVGVC,Central Girls Volleybl Varsity,E,12,2230066
,ZATHCWRG,Central Girls Wrestling,E,9,2260072
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260072
,ZATHCHVC,Central Cheerleading Varsity,E,9,2260074
,ZATHFBSC,Central Sophomore Football,E,10,2250073
,ZACTSCHO,Scholastic Bowl,E,11,2240083
,ZATHCHJC,Central JV Cheerleading,E,11,2240084
,ZATHSWBC,Central Boys Swimming,E,12,2230069
,ZATHKGFC,Central Freshman Girls Basketb,E,9,2260076
,ZATHSFVC,Central Varsity Softball,E,11,2240085
,ZATHVGJC,Central JV Girls Volleyball ,E,10,4250077
,ZATHWRJC,Central JV Wrestling,E,9,2260083
,ZATHSBSC,Central JV Boys Soccer,E,10,2250080
,ZATHBBFC,Central Freshman Baseball,E,9,2260003
,ZATHKGFC,Central Freshman Girls Basketb,E,9,2260085
,ZATHTGVC,Central Varsity Girls TrkFld,E,9,2260085
,ZATHCGVC,Cent. Girls X Country Varsity,E,9,2260088
,ZACTSCHO,Scholastic Bowl,E,11,2240096
,ZATHBDVC,Central Varsity Badminton,E,12,2230090
,ZATHTBVC,Central Varsity Boys TrkFld,E,9,2260094
,ZATHFBVC,Central Football Varsity,E,11,2240104
,ZATHFBVC,Central Football Varsity,E,11,2240905
,ZATHKGSC,Central Sophomore Girls Basket,E,10,2250096
,ZATHTGVC,Central Varsity Girls TrkFld,E,10,2250096
,ZATHCHJC,Central JV Cheerleading,E,11,2240106
,ZACTSCHO,Scholastic Bowl,E,10,2250097
,ZATHKGVC,Central Varsity Girls Basktbl,E,9,2260098
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260098
,ZATHTBVC,Central Varsity Boys TrkFld,E,10,2250979
,ZATHKGSC,Central Sophomore Girls Basket,E,10,2251081
,ZATHSFJC,Central JV Softball,E,9,2260803
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260104
,ZATHVGVC,Central Girls Volleybl Varsity,E,12,2230100
,ZATHCHVC,Central Cheerleading Varsity,E,10,2250109
,ZATHCHVC,Central Cheerleading Varsity,E,11,2240119
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240119
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260108
,ZATHPMJC,Central JV Dance,E,10,2250110
,ZATHPMJC,Central JV Dance,E,12,2230103
,ZATHSWBC,Central Boys Swimming,E,10,2250113
,ZATHCBJC,Central JV Boys X Country,E,9,2260111
,ZATHTBVC,Central Varsity Boys TrkFld,E,9,2260111
,ZATHBBFC,Central Freshman Baseball,E,9,2260114
,ZATHWRJC,Central JV Wrestling,E,9,2260114
,ZATHSBVC,Central Boys Soccer Varsity,E,12,2230109
,ZATHSGVC,Central Varsity Girls Soccer,E,10,2250118
,ZATHKBSC,Central Sophomore Boys Basketb,E,9,2260806
,ZATHTBVC,Central Varsity Boys TrkFld,E,9,2260806
,ZATHFBSC,Central Sophomore Football,E,10,2250121
,ZATHSBSC,Central JV Boys Soccer,E,10,2250130
,ZATHSBSC,Central JV Boys Soccer,E,9,2260119
,ZATHWRJC,Central JV Wrestling,E,10,2250125
,ZATHWRJC,Central JV Wrestling,E,10,2250127
,ZATHVGVC,Central Girls Volleybl Varsity,E,12,2230114
,ZATHTGVC,Central Varsity Girls TrkFld,E,10,2250128
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260123
,ZATHBDVC,Central Varsity Badminton,E,11,2240150
,ZATHPMJC,Central JV Dance,E,10,2250132
,ZATHBDVC,Central Varsity Badminton,E,12,2230119
,ZATHBGVC,Central Varsity Girls Bowling,E,12,2230119
,ZATHFBVC,Central Football Varsity,E,11,2241089
,ZATHTBVC,Central Varsity Boys TrkFld,E,11,2241089
,ZATHKGVC,Central Varsity Girls Basktbl,E,12,2231085
,ZACTSCHO,Scholastic Bowl,E,12,2230122
,ZATHSBSC,Central JV Boys Soccer,E,10,2250136
,ZATHVGJC,Central JV Girls Volleyball ,E,10,2250137
,ZATHWRJC,Central JV Wrestling,E,11,2240158
,ZATHSGJC,Central JV Girls Soccer,E,10,2250140
,ZATHFBFC ,Central Freshman Football,E,9,2260134
,ZATHSWBC,Central Boys Swimming,E,9,2260134
,ZATHVBFC,Central Freshman Boys Volleyba,E,9,2260134
,ZATHCWRG,Central Girls Wrestling,E,10,2250147
,ZATHCGVC,Cent. Girls X Country Varsity,E,10,2250149
,ZATHCWRG,Central Girls Wrestling,E,9,2260137
,ZATHSGFC,Central Freshman Girls Soccer,E,9,2260137
,ZATHBGVC,Central Varsity Girls Bowling,E,12,2230133
,ZATHCBJC,Central JV Boys X Country,E,9,2260853
,ZATHWRJC,Central JV Wrestling,E,9,2260853
,ZATHFBVC,Central Football Varsity,E,11,2240165
,ZATHWRVC,Central Varsity Wrestling,E,11,2240165
,ZACTSCHO,Scholastic Bowl,E,9,2260141
,ZATHSBSC,Central JV Boys Soccer,E,11,2240174
,ZATHCGVC,Cent. Girls X Country Varsity,E,9,2260144
,ZATHTGVC,Central Varsity Girls TrkFld,E,9,2260144
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260145
,ZATHTNV,Central Boys Tennis,E,9,2260146
,ZATHBDFC,Central Freshman Badminton,E,9,2260841
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260841
,ZATHFBFC ,Central Freshman Football,E,9,2260855
,ZATHBWVC,Central Boys Bowling Varsity,E,11,2240906
,ZATHFBSC,Central Sophomore Football,E,10,2250169
,ZATHWRJC,Central JV Wrestling,E,10,2250169
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260151
,ZATHVBFC,Central Freshman Boys Volleyba,E,9,2260151
,ZATHFBSC,Central Sophomore Football,E,10,4250164
,ZATHWRJC,Central JV Wrestling,E,10,4250164
,ZATHCBJC,Central JV Boys X Country,E,9,2260157
,ZATHWRJC,Central JV Wrestling,E,9,2260157
,ZATHSBVC,Central Boys Soccer Varsity,E,11,2240189
,ZATHKBSC,Central Sophomore Boys Basketb,E,10,2250179
,ZATHFBSC,Central Sophomore Football,E,10,2250176
,ZATHWRJC,Central JV Wrestling,E,10,2250176
,ZATHVGJC,Central JV Girls Volleyball ,E,10,2250177
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260164
,ZATHKGFC,Central Freshman Girls Basketb,E,9,2260167
,ZATHTGVC,Central Varsity Girls TrkFld,E,9,2260167
,ZATHKBFC,Central Freshman Boys Basketba,E,9,2260169
,ZATHWRJC,Central JV Wrestling,E,10,2250182
,ZACTSPEE,Speech Team,E,9,2260173
,ZACTSCHO,Scholastic Bowl,E,12,2230126
,ZATHCBVC,Central Boys X Country Varsity,E,11,2240201
,ZATHWRJC,Central JV Wrestling,E,10,2250187
,ZATHSGVC,Central Varsity Girls Soccer,E,11,4240084
,ZATHVGJC,Central JV Girls Volleyball ,E,11,4240084
,ZATHCWRG,Central Girls Wrestling,E,9,2260809
,ZATHTGVC,Central Varsity Girls TrkFld,E,9,2260809
,ZATHPMJC,Central JV Dance,E,11,2240208
,ZATHSGVC,Central Varsity Girls Soccer,E,11,2240208
,ZATHTBVC,Central Varsity Boys TrkFld,E,11,2240210
,ZATHPMJC,Central JV Dance,E,10,2250193
,ZATHBGVC,Central Varsity Girls Bowling,E,10,2250195
,ZATHVGVC,Central Girls Volleybl Varsity,E,11,2240214
,ZATHKGFC,Central Freshman Girls Basketb,E,9,2260968
,ZATHCGVC,Cent. Girls X Country Varsity,E,10,2250197
,ZATHTGVC,Central Varsity Girls TrkFld,E,10,2250197
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240218
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240221
,ZATHBGVC,Central Varsity Girls Bowling,E,11,2240222
,ZATHVGJC,Central JV Girls Volleyball ,E,11,2240222
,ZACTSPEE,Speech Team,E,11,4240090
,ZATHSFVC,Central Varsity Softball,E,11,4240090
,ZATHCHJC,Central JV Cheerleading,E,9,2260810
,ZATHCWRG,Central Girls Wrestling,E,9,2260810
,ZATHSFVC,Central Varsity Softball,E,11,2240224
,ZATHFBFC ,Central Freshman Football,E,9,2260195
,ZATHTBVC,Central Varsity Boys TrkFld,E,9,2260195
,ZATHKBVC,Central Varsity Boys Basketbl,E,12,2230175
,ZATHKGVC,Central Varsity Girls Basktbl,E,12,2230177
,ZATHKGVC,Central Varsity Girls Basktbl,E,12,2230983
,ZATHCGVC,Cent. Girls X Country Varsity,E,10,2250202
,ZATHCBVC,Central Boys X Country Varsity,E,11,2240229
,ZATHWRJC,Central JV Wrestling,E,10,2250204
,ZATHFBVC,Central Football Varsity,E,12,2230182
,ZATHKBVC,Central Varsity Boys Basketbl,E,12,2230182
,ZATHTBVC,Central Varsity Boys TrkFld,E,12,2230182
,ZATHKBFC,Central Freshman Boys Basketba,E,9,2260202
,ZATHSBVC,Central Boys Soccer Varsity,E,12,2230183
,ZATHCBVC,Central Boys X Country Varsity,E,12,2230186
,ZATHTBVC,Central Varsity Boys TrkFld,E,12,2230186
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260203
,ZATHSGJC,Central JV Girls Soccer,E,10,2250207
,ZATHSGJC,Central JV Girls Soccer,E,10,2250209
,ZATHSGFC,Central Freshman Girls Soccer,E,9,2260200
,ZATHBWJC,Central JV Boys Bowling,E,9,2260206
,ZACTSPEE,Speech Team,E,12,2230006
,ZATHBBVC,Central Varsity Baseball,E,11,2240003
,ZACTSPEE,Speech Team,E,10,2250216
,ZATHWRJC,Central JV Wrestling,E,9,2260210
,ZATHSGFC,Central Freshman Girls Soccer,E,9,2260216
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260216
,ZATHCBJC,Central JV Boys X Country,E,10,2250217
,ZATHTBVC,Central Varsity Boys TrkFld,E,10,2250217
,ZATHKGFC,Central Freshman Girls Basketb,E,9,4260213
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240235
,ZATHVGJC,Central JV Girls Volleyball ,E,10,2250223
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260857
,ZATHFBFC ,Central Freshman Football,E,9,2260222
,ZATHSBVC,Central Boys Soccer Varsity,E,12,2230197
,ZATHCGVC,Cent. Girls X Country Varsity,E,12,2230198
,ZATHTGVC,Central Varsity Girls TrkFld,E,12,2230198
,ZATHWRJC,Central JV Wrestling,E,10,2250934
,ZATHKBVC,Central Varsity Boys Basketbl,E,11,2240241
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240244
,ZATHKBSC,Central Sophomore Boys Basketb,E,10,2251037
,ZATHPMVC,Central Dance,E,10,2250233
,ZATHFBVC,Central Football Varsity,E,11,2240947
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260902
,ZATHVBVC,Central Varsity Boys Volleybl,E,12,2230205
,ZATHFBSC,Central Sophomore Football,E,10,2250241
,ZATHWRVC,Central Varsity Wrestling,E,12,2230213
,ZACTSPEE,Speech Team,E,10,2250244
,ZATHKBVC,Central Varsity Boys Basketbl,E,12,2230214
,ZATHBWJC,Central JV Boys Bowling,E,12,2230921
,ZATHFBFC ,Central Freshman Football,E,9,2260228
,ZATHWRVC,Central Varsity Wrestling,E,11,2241046
,ZATHPMVC,Central Dance,E,10,2250251
,ZATHCHJC,Central JV Cheerleading,E,9,2260232
,ZATHPMVC,Central Dance,E,11,2240257
,ZATHBBVC,Central Varsity Baseball,E,12,2230224
,ZATHVGVC,Central Girls Volleybl Varsity,E,9,2260858
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240258
,ZATHFBVC,Central Football Varsity,E,12,2230228
,ZATHCGVC,Cent. Girls X Country Varsity,E,9,2260237
,ZATHKGVC,Central Varsity Girls Basktbl,E,9,2260239
,ZATHSFJC,Central JV Softball,E,9,2260239
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260241
,ZATHFBSC,Central Sophomore Football,E,10,2250259
,ZATHCHVC,Central Cheerleading Varsity,E,10,2250260
,ZATHVGVC,Central Girls Volleybl Varsity,E,10,2250909
,ZATHCGVC,Cent. Girls X Country Varsity,E,12,2230232
,ZACTSPEE,Speech Team,E,11,2240004
,ZATHFBVC,Central Football Varsity,E,12,2230939
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260842
,ZATHCHVC,Central Cheerleading Varsity,E,11,2240948
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240948
,ZATHBBFC,Central Freshman Baseball,E,9,2260250
,ZATHCGVC,Cent. Girls X Country Varsity,E,10,2250269
,ZATHTBVC,Central Varsity Boys TrkFld,E,9,4260274
,ZATHCBJC,Central JV Boys X Country,E,10,2250272
,ZATHWRJC,Central JV Wrestling,E,10,2250272
,ZATHBBFC,Central Freshman Baseball,E,9,2260258
,ZATHTSVC,Cent. Girls Tennis Varsity,E,11,2240285
,ZATHWRJC,Central JV Wrestling,E,11,2241100
,ZATHTNV,Central Boys Tennis,E,12,2230256
,ZATHFBVC,Central Football Varsity,E,11,2241047
,ZACTESPO,E-Sports,E,9,2260255
,ZATHFBFC ,Central Freshman Football,E,9,2260255
,ZATHSBSC,Central JV Boys Soccer,E,10,2250993
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240298
,ZATHGBC,Cent. Boys Golf Varsity,E,11,2240911
,ZATHSBSC,Central JV Boys Soccer,E,10,2250988
,ZATHSBVC,Central Boys Soccer Varsity,E,12,2231043
,ZATHTGVC,Central Varsity Girls TrkFld,E,10,2250288
,ZATHCGVC,Cent. Girls X Country Varsity,E,9,2260273
,ZATHTGVC,Central Varsity Girls TrkFld,E,9,2260273
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260274
,ZATHKGSC,Central Sophomore Girls Basket,E,10,2250292
,ZATHSFJC,Central JV Softball,E,10,2250292
,ZACTSCHO,Scholastic Bowl,E,12,2230275
,ZATHFBVC,Central Football Varsity,E,11,2240307
,ZATHTBVC,Central Varsity Boys TrkFld,E,11,2240307
,ZATHWRVC,Central Varsity Wrestling,E,11,2240307
,ZATHSBVC,Central Boys Soccer Varsity,E,12,2230277
,ZACTSCHO,Scholastic Bowl,E,11,2240308
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260381
,ZACTSPEE,Speech Team,E,11,2240311
,ZATHSBSC,Central JV Boys Soccer,E,10,2250303
,ZATHCGVC,Cent. Girls X Country Varsity,E,12,2230291
,ZATHWRVC,Central Varsity Wrestling,E,11,2240322
,ZATHFBFC ,Central Freshman Football,E,9,2260285
,ZATHBGVC,Central Varsity Girls Bowling,E,11,2240325
,ZATHPMJC,Central JV Dance,E,11,2241066
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260286
,ZATHFBSC,Central Sophomore Football,E,10,2250314
,ZACTSPEE,Speech Team,E,11,2240333
,ZATHCHVC,Central Cheerleading Varsity,E,11,2240334
,ZATHTBVC,Central Varsity Boys TrkFld,E,11,2240334
,ZATHCBVC,Central Boys X Country Varsity,E,11,2240360
,ZATHCHVC,Central Cheerleading Varsity,E,11,2240360
,ZATHTBVC,Central Varsity Boys TrkFld,E,11,2240360
,ZACTESPO,E-Sports,E,9,2260294
,ZATHFBSC,Central Sophomore Football,E,10,2250320
,ZATHFBFC ,Central Freshman Football,E,9,2260297
,ZATHPMJC,Central JV Dance,E,9,2260298
,ZATHPMVC,Central Dance,E,9,2260298
,ZATHKGFC,Central Freshman Girls Basketb,E,9,2260966
,ZATHKGSC,Central Sophomore Girls Basket,E,11,2240951
,ZATHWRJC,Central JV Wrestling,E,9,2260860
,ZATHBDVC,Central Varsity Badminton,E,10,2250323
,ZATHSBVC,Central Boys Soccer Varsity,E,12,2230308
,ZATHCWRG,Central Girls Wrestling,E,10,2250324
,ZATHCBVC,Central Boys X Country Varsity,E,11,2240346
,ZATHCBJC,Central JV Boys X Country,E,9,2260302
,ZATHBBVC,Central Varsity Baseball,E,11,2240347
,ZATHSBSC,Central JV Boys Soccer,E,10,2250328
,ZATHSBSC,Central JV Boys Soccer,E,10,2250329
,ZACTSCHO,Scholastic Bowl,E,12,2230318
,ZATHBBVC,Central Varsity Baseball,E,12,2230318
,ZATHKGSC,Central Sophomore Girls Basket,E,10,2250336
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260310
,ZATHCGVC,Cent. Girls X Country Varsity,E,11,2240335
,ZATHSBFC,Central Freshman Boys Soccer,E,9,2260321
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,4260865
,ZATHFBSC,Central Sophomore Football,E,10,2250348
,ZATHCGVC,Cent. Girls X Country Varsity,E,11,2240363
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240363
,ZATHVGJC,Central JV Girls Volleyball ,E,10,2250346
,ZATHFBSC,Central Sophomore Football,E,10,4250313
,ZATHKBSC,Central Sophomore Boys Basketb,E,10,4250313
,ZATHTGVC,Central Varsity Girls TrkFld,E,10,2251061
,ZATHBGVC,Central Varsity Girls Bowling,E,10,2250356
,ZATHFBFC ,Central Freshman Football,E,9,2260813
,ZATHFBSC,Central Sophomore Football,E,10,2250358
,ZATHKBSC,Central Sophomore Boys Basketb,E,10,2250358
,ZATHGGC,Cent. Girls Golf Varsity,E,10,2250000
,ZATHTGVC,Central Varsity Girls TrkFld,E,10,2250000
,ZATHGGC,Cent. Girls Golf Varsity,E,12,2230902
,ZATHVGJC,Central JV Girls Volleyball ,E,10,2250360
,ZATHKBFC,Central Freshman Boys Basketba,E,9,2260332
,ZATHWRJC,Central JV Wrestling,E,9,4260355
,ZATHSGVC,Central Varsity Girls Soccer,E,12,2230350
,ZATHVGJC,Central JV Girls Volleyball ,E,10,2250960
,ZATHCHJC,Central JV Cheerleading,E,10,2250364
,ZATHCBVC,Central Boys X Country Varsity,E,11,2240379
,ZATHWRJC,Central JV Wrestling,E,11,2240379
,ZATHPMJC,Central JV Dance,E,12,2230358
,ZATHSFVC,Central Varsity Softball,E,12,2230364
,ZATHFBVC,Central Football Varsity,E,12,2230369
,ZATHKBVC,Central Varsity Boys Basketbl,E,11,4240174
,ZATHTBVC,Central Varsity Boys TrkFld,E,9,2260360
,ZATHFBSC,Central Sophomore Football,E,10,2250385
,ZATHWRJC,Central JV Wrestling,E,10,2250385
,ZATHBWJC,Central JV Boys Bowling,E,9,2260363
,ZATHBWVC,Central Boys Bowling Varsity,E,12,2230378
,ZATHBBVC,Central Varsity Baseball,E,11,2240401
,ZATHFBVC,Central Football Varsity,E,11,2240401
,ZATHTNV,Central Boys Tennis,E,9,2260369
,ZATHVGFC,Central Freshman Girls Volleyb,E,9,2260370
,ZATHKBFC,Central Freshman Boys Basketba,E,9,2260815
,ZATHKBFC,Central Freshman Boys Basketba,E,9,2260375
,ZATHKGSC,Central Sophomore Girls Basket,E,10,2250406
,ZATHCHVC,Central Cheerleading Varsity,E,9,2260380
,ZATHSFJC,Central JV Softball,E,9,2260380
,ZATHKBSC,Central Sophomore Boys Basketb,E,10,2250939
,ZATHSWBC,Central Boys Swimming,E,10,2250412
,ZATHBWJC,Central JV Boys Bowling,E,12,2230397
,ZATHBWVC,Central Boys Bowling Varsity,E,9,2260863
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240422
,ZATHFBFC ,Central Freshman Football,E,9,2260390
,ZATHKBFC,Central Freshman Boys Basketba,E,9,2260390
,ZATHVGVC,Central Girls Volleybl Varsity,E,10,2250913
,ZATHVGJC,Central JV Girls Volleyball ,E,11,2241034
,ZACTSCHO,Scholastic Bowl,E,9,2260393
,ZATHBWJC,Central JV Boys Bowling,E,11,2240429
,ZATHVBJC,Central JV Boys Volleyball,E,11,2240429
,ZATHWRVC,Central Varsity Wrestling,E,10,2250423
,ZATHFBVC,Central Football Varsity,E,12,2230904
,ZATHFBFC ,Central Freshman Football,E,9,2260816
,ZATHKBFC,Central Freshman Boys Basketba,E,9,2260816
,ZATHTBVC,Central Varsity Boys TrkFld,E,9,2260816
,ZATHCGVC,Cent. Girls X Country Varsity,E,9,2260400
,ZATHTGVC,Central Varsity Girls TrkFld,E,9,2260400
,ZATHCBVC,Central Boys X Country Varsity,E,11,2240435
,ZATHTBVC,Central Varsity Boys TrkFld,E,11,2240435
,ZACTESPO,E-Sports,E,9,2260893
,ZATHCBJC,Central JV Boys X Country,E,9,2260893
,ZACTSPEE,Speech Team,E,11,2240917
,ZATHKBVC,Central Varsity Boys Basketbl,E,11,2240438
,ZATHTBVC,Central Varsity Boys TrkFld,E,11,2240438
,ZATHVGVC,Central Girls Volleybl Varsity,E,11,2240440
,ZATHWRVC,Central Varsity Wrestling,E,9,2260413
,ZATHSFVC,Central Varsity Softball,E,11,2240446
,ZACTSPEE,Speech Team,E,10,2250432
,ZATHVGVC,Central Girls Volleybl Varsity,E,11,2240447
,ZATHBBVC,Central Varsity Baseball,E,11,2241092
,ZATHWRJC,Central JV Wrestling,E,11,2240449
,ZATHFBVC,Central Football Varsity,E,12,2230945
,ZATHKGFC,Central Freshman Girls Basketb,E,9,2260417
,ZATHKBFC,Central Freshman Boys Basketba,E,9,2260418
,ZATHKBFC,Central Freshman Boys Basketba,E,9,2260420
,ZATHSBVC,Central Boys Soccer Varsity,E,12,2230443
,ZATHKBFC,Central Freshman Boys Basketba,E,9,2260428
,ZATHWRJC,Central JV Wrestling,E,11,2241024
,ZATHCBVC,Central Boys X Country Varsity,E,12,2230446
,ZATHSFJC,Central JV Softball,E,9,2260894
,ZATHBBFC,Central Freshman Baseball,E,9,2260001
,ZATHSBVC,Central Boys Soccer Varsity,E,12,2230448
,ZACTESPO,E-Sports,E,12,2230449
,ZATHCGVC,Cent. Girls X Country Varsity,E,9,2260436
,ZATHSGFC,Central Freshman Girls Soccer,E,9,2260436
,ZATHFBSC,Central Sophomore Football,E,10,2250977
,ZACTESPO,E-Sports,E,10,2251064
,ZATHBDFC,Central Freshman Badminton,E,9,2260441
,ZATHSGFC,Central Freshman Girls Soccer,E,9,2260439
,ZATHPMVC,Central Dance,E,12,2230915
,ZATHBWJC,Central JV Boys Bowling,E,9,2260445
,ZATHGBC,Cent. Boys Golf Varsity,E,9,2260445
,ZATHTNV,Central Boys Tennis,E,9,2260445
,ZATHBWJC,Central JV Boys Bowling,E,11,2240473
,ZATHGBC,Cent. Boys Golf Varsity,E,11,2240473
,ZATHTNV,Central Boys Tennis,E,11,2240473
,ZATHCHVC,Central Cheerleading Varsity,E,12,2230467
,ZATHTBVC,Central Varsity Boys TrkFld,E,12,2230467
,ZATHVBVC,Central Varsity Boys Volleybl,E,11,2240922
,ZATHTGVC,Central Varsity Girls TrkFld,E,9,2260449
,ZATHVGVC,Central Girls Volleybl Varsity,E,10,2250468
,ZATHCHJC,Central JV Cheerleading,E,9,2260936
,ZATHFBFC ,Central Freshman Football,E,9,2260839
,ZATHTGVC,Central Varsity Girls TrkFld,E,9,2260839
,ZATHFBSC,Central Sophomore Football,E,10,2250004
,ZATHVBJC,Central JV Boys Volleyball,E,10,2250004
,ZATHBGVC,Central Varsity Girls Bowling,E,12,2231099
,ZATHCGVC,Cent. Girls X Country Varsity,E,11,2240486
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240486
,ZATHFBFC ,Central Freshman Football,E,9,2260455
,ZATHWRVC,Central Varsity Wrestling,E,9,2260455
,ZATHBBVC,Central Varsity Baseball,E,11,2240487
,ZACTSCHO,Scholastic Bowl,E,11,2240491
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240491
,ZATHWRJC,Central JV Wrestling,E,10,2250479
,ZATHCGVC,Cent. Girls X Country Varsity,E,11,2240492
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240492
,ZATHTGVC,Central Varsity Girls TrkFld,E,11,2240007
,ZATHCHVC,Central Cheerleading Varsity,E,9,2260460
,ZATHCBVC,Central Boys X Country Varsity,E,11,2240497
,ZATHTBVC,Central Varsity Boys TrkFld,E,11,2240497
,ZATHWRJC,Central JV Wrestling,E,11,2240497
,ZATHBWJC,Central JV Boys Bowling,E,10,2250493
,ZATHCGVC,Cent. Girls X Country Varsity,E,11,2241045
